GENE PRODUCT DB	GENE PRODUCT ID	GO TERM	GO NAME	GO ASPECT
UniProtKB	A0A075B6P5	GO:0002862	negative regulation of inflammatory response to antigenic stimulus	P
UniProtKB	A0A075B6P5	GO:0030449	regulation of complement activation	P
UniProtKB	A0A075B6P5	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A075B6P5	GO:0006956	complement activation	P
UniProtKB	A0A075B6P5	GO:0050776	regulation of immune response	P
UniProtKB	A0A075B6P5	GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	P
UniProtKB	A0A075B6P5	GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	P
UniProtKB	A0A075B6P5	GO:0038095	Fc-epsilon receptor signaling pathway	P
UniProtKB	A0A075B6Q5	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	A0A075B6Q5	GO:0050871	positive regulation of B cell activation	P
UniProtKB	A0A075B6Q5	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A075B6R2	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A075B6R2	GO:0050871	positive regulation of B cell activation	P
UniProtKB	A0A075B6R2	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	A0A075B6S6	GO:0002862	negative regulation of inflammatory response to antigenic stimulus	P
UniProtKB	A0A075B6S6	GO:0030449	regulation of complement activation	P
UniProtKB	A0A075B6S6	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A075B6S6	GO:0006956	complement activation	P
UniProtKB	A0A075B6S6	GO:0050776	regulation of immune response	P
UniProtKB	A0A075B6S6	GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	P
UniProtKB	A0A075B6S6	GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	P
UniProtKB	A0A075B6S6	GO:0038095	Fc-epsilon receptor signaling pathway	P
UniProtKB	A0A075B7B6	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	A0A075B7B6	GO:0050871	positive regulation of B cell activation	P
UniProtKB	A0A075B7B6	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A075B7B8	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	A0A075B7B8	GO:0050871	positive regulation of B cell activation	P
UniProtKB	A0A075B7B8	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A075B7D0	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A075B7D0	GO:0050871	positive regulation of B cell activation	P
UniProtKB	A0A075B7D0	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	A0A075B7D8	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	A0A075B7D8	GO:0050871	positive regulation of B cell activation	P
UniProtKB	A0A075B7D8	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A075B7E8	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A075B7E8	GO:0050871	positive regulation of B cell activation	P
UniProtKB	A0A075B7E8	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	A0A075B7F0	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	A0A075B7F0	GO:0050871	positive regulation of B cell activation	P
UniProtKB	A0A075B7F0	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A075B7F1	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A075B7F1	GO:0050871	positive regulation of B cell activation	P
UniProtKB	A0A075B7F1	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	A0A087WSY4	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A087WSY4	GO:0050871	positive regulation of B cell activation	P
UniProtKB	A0A087WSY4	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	A0A087WT57	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	A0A087WW49	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A087WW49	GO:0050871	positive regulation of B cell activation	P
UniProtKB	A0A087WW49	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	A0A087WYE8	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A087WYE8	GO:0050871	positive regulation of B cell activation	P
UniProtKB	A0A087WYE8	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	A0A087X1L8	GO:0042102	positive regulation of T cell proliferation	P
UniProtKB	A0A087X1L8	GO:0042130	negative regulation of T cell proliferation	P
UniProtKB	A0A087X1L8	GO:0031295	T cell costimulation	P
UniProtKB	A0A0A0MS14	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A0A0MS14	GO:0050871	positive regulation of B cell activation	P
UniProtKB	A0A0A0MS14	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	A0A0A0MS15	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	A0A0A0MS15	GO:0050871	positive regulation of B cell activation	P
UniProtKB	A0A0A0MS15	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A0A6YYK7	GO:0050852	T cell receptor signaling pathway	P
UniProtKB	A0A0A6YYK7	GO:0050776	regulation of immune response	P
UniProtKB	A0A0B4J1U7	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	A0A0B4J1U7	GO:0050871	positive regulation of B cell activation	P
UniProtKB	A0A0B4J1U7	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A0B4J1V0	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A0B4J1V0	GO:0050871	positive regulation of B cell activation	P
UniProtKB	A0A0B4J1V0	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	A0A0B4J1V1	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A0B4J1V1	GO:0050871	positive regulation of B cell activation	P
UniProtKB	A0A0B4J1V1	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	A0A0B4J1V2	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	A0A0B4J1V2	GO:0050871	positive regulation of B cell activation	P
UniProtKB	A0A0B4J1V2	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A0B4J1V6	GO:0006958	complement activation, classical pathway	P
UniProtKB	A0A0B4J1V6	GO:0050871	positive regulation of B cell activation	P
UniProtKB	A0A0B4J1V6	GO:0050853	B cell receptor signaling pathway	P
