GENE PRODUCT DB	GENE PRODUCT ID	GO TERM	GO NAME	GO ASPECT
UniProtKB	A0A0A7EPL0	GO:0009737	response to abscisic acid	P
UniProtKB	A0MES8	GO:0009738	abscisic acid-activated signaling pathway	P
UniProtKB	A0SVK0	GO:0009738	abscisic acid-activated signaling pathway	P
UniProtKB	B3H7F6	GO:0009737	response to abscisic acid	P
UniProtKB	B3H7M2	GO:0009737	response to abscisic acid	P
UniProtKB	B9DGI8	GO:0071215	cellular response to abscisic acid stimulus	P
UniProtKB	B9DHT4	GO:0009737	response to abscisic acid	P
UniProtKB	B9DHT4	GO:0009737	response to abscisic acid	P
UniProtKB	C0LGQ9	GO:0009737	response to abscisic acid	P
UniProtKB	C0LGQ9	GO:0009737	response to abscisic acid	P
UniProtKB	F2Y4A3	GO:0071215	cellular response to abscisic acid stimulus	P
UniProtKB	F2Y4A3	GO:0009737	response to abscisic acid	P
UniProtKB	F4HRC9	GO:0009737	response to abscisic acid	P
UniProtKB	F4HRC9	GO:0009737	response to abscisic acid	P
UniProtKB	F4HRC9	GO:0009737	response to abscisic acid	P
UniProtKB	F4HTH8	GO:0009737	response to abscisic acid	P
UniProtKB	F4HZB2	GO:0009737	response to abscisic acid	P
UniProtKB	F4I1S7	GO:0009737	response to abscisic acid	P
UniProtKB	F4I1V3	GO:1901527	abscisic acid-activated signaling pathway involved in stomatal movement	P
UniProtKB	F4I3C9	GO:0009738	abscisic acid-activated signaling pathway	P
UniProtKB	F4I3C9	GO:0009737	response to abscisic acid	P
UniProtKB	F4I7B6	GO:0009737	response to abscisic acid	P
UniProtKB	F4IB81	GO:0009738	abscisic acid-activated signaling pathway	P
UniProtKB	F4IB81	GO:0009737	response to abscisic acid	P
UniProtKB	F4IIS6	GO:0071215	cellular response to abscisic acid stimulus	P
UniProtKB	F4INZ9	GO:0009737	response to abscisic acid	P
UniProtKB	F4IQ66	GO:0071215	cellular response to abscisic acid stimulus	P
UniProtKB	F4IQ85	GO:0009737	response to abscisic acid	P
UniProtKB	F4IRB4	GO:0009737	response to abscisic acid	P
UniProtKB	F4ISU2	GO:0009737	response to abscisic acid	P
UniProtKB	F4IVM7	GO:0009738	abscisic acid-activated signaling pathway	P
UniProtKB	F4IVM7	GO:0009737	response to abscisic acid	P
UniProtKB	F4IX26	GO:0009737	response to abscisic acid	P
UniProtKB	F4J0N1	GO:0009737	response to abscisic acid	P
UniProtKB	F4J0N1	GO:0009737	response to abscisic acid	P
UniProtKB	F4J0N1	GO:0009737	response to abscisic acid	P
UniProtKB	F4J0W4	GO:0009737	response to abscisic acid	P
UniProtKB	F4J9A0	GO:0009737	response to abscisic acid	P
UniProtKB	F4JB53	GO:0009738	abscisic acid-activated signaling pathway	P
UniProtKB	F4JB53	GO:0009737	response to abscisic acid	P
UniProtKB	F4JB53	GO:0009737	response to abscisic acid	P
UniProtKB	F4JCB2	GO:0009737	response to abscisic acid	P
UniProtKB	F4JGW8	GO:0009737	response to abscisic acid	P
UniProtKB	F4JGW8	GO:0009737	response to abscisic acid	P
UniProtKB	F4JIU9	GO:0009737	response to abscisic acid	P
UniProtKB	F4JJP9	GO:0009737	response to abscisic acid	P
UniProtKB	F4JKH6	GO:0009737	response to abscisic acid	P
UniProtKB	F4JNK0	GO:0009737	response to abscisic acid	P
UniProtKB	F4JNX3	GO:0009737	response to abscisic acid	P
UniProtKB	F4JPT7	GO:0009737	response to abscisic acid	P
UniProtKB	F4JTP5	GO:0009737	response to abscisic acid	P
UniProtKB	F4JVI3	GO:0009737	response to abscisic acid	P
UniProtKB	F4JYG0	GO:0009737	response to abscisic acid	P
UniProtKB	F4JZY1	GO:0009737	response to abscisic acid	P
UniProtKB	F4JZY1	GO:0071215	cellular response to abscisic acid stimulus	P
UniProtKB	F4K6Q7	GO:0009737	response to abscisic acid	P
UniProtKB	F4K9K2	GO:0009737	response to abscisic acid	P
UniProtKB	F4KAQ8	GO:0009737	response to abscisic acid	P
UniProtKB	F4KCC2	GO:0009737	response to abscisic acid	P
UniProtKB	O03042	GO:0009737	response to abscisic acid	P
UniProtKB	O04036	GO:0009737	response to abscisic acid	P
UniProtKB	O04492	GO:0009737	response to abscisic acid	P
UniProtKB	O04499	GO:0009737	response to abscisic acid	P
UniProtKB	O04515	GO:0009737	response to abscisic acid	P
UniProtKB	O04714	GO:0009738	abscisic acid-activated signaling pathway	P
UniProtKB	O04719	GO:0009737	response to abscisic acid	P
UniProtKB	O22151	GO:0009737	response to abscisic acid	P
UniProtKB	O22788	GO:0009737	response to abscisic acid	P
UniProtKB	O22788	GO:0009737	response to abscisic acid	P
UniProtKB	O22788	GO:0009737	response to abscisic acid	P
UniProtKB	O22809	GO:0009737	response to abscisic acid	P
UniProtKB	O22850	GO:0009738	abscisic acid-activated signaling pathway	P
