GENE PRODUCT DB	GENE PRODUCT ID	GO TERM	GO NAME	GO ASPECT
UniProtKB	A0MFS5	GO:0015979	photosynthesis	P
UniProtKB	B3H5S2	GO:0015979	photosynthesis	P
UniProtKB	B9DHG0	GO:0048564	photosystem I assembly	P
UniProtKB	B9DHG0	GO:0048564	photosystem I assembly	P
UniProtKB	F4I890	GO:0009773	photosynthetic electron transport in photosystem I	P
UniProtKB	F4I896	GO:0015979	photosynthesis	P
UniProtKB	F4IAG5	GO:0015979	photosynthesis	P
UniProtKB	F4J1L5	GO:0010207	photosystem II assembly	P
UniProtKB	F4J1L5	GO:0048564	photosystem I assembly	P
UniProtKB	F4JGR5	GO:0015979	photosynthesis	P
UniProtKB	F4JGR5	GO:0015979	photosynthesis	P
UniProtKB	F4JHA2	GO:0015979	photosynthesis	P
UniProtKB	F4JQE2	GO:0015979	photosynthesis	P
UniProtKB	F4K8I1	GO:0009768	photosynthesis, light harvesting in photosystem I	P
UniProtKB	O22609	GO:0010206	photosystem II repair	P
UniProtKB	O22682	GO:0015979	photosynthesis	P
UniProtKB	O22773	GO:0010206	photosystem II repair	P
UniProtKB	O23403	GO:0048564	photosystem I assembly	P
UniProtKB	O49668	GO:0010207	photosystem II assembly	P
UniProtKB	O64750	GO:0048564	photosystem I assembly	P
UniProtKB	O65502	GO:0010207	photosystem II assembly	P
UniProtKB	O80860	GO:0010206	photosystem II repair	P
UniProtKB	O80860	GO:0048564	photosystem I assembly	P
UniProtKB	O81208	GO:0010207	photosystem II assembly	P
UniProtKB	O81208	GO:0010207	photosystem II assembly	P
UniProtKB	O82261	GO:0010206	photosystem II repair	P
UniProtKB	P04778	GO:0009768	photosynthesis, light harvesting in photosystem I	P
UniProtKB	P0CJ48	GO:0009768	photosynthesis, light harvesting in photosystem I	P
UniProtKB	P10795	GO:0015979	photosynthesis	P
UniProtKB	P14713	GO:0015979	photosynthesis	P
UniProtKB	P16972	GO:0009767	photosynthetic electron transport chain	P
UniProtKB	P23321	GO:0019684	photosynthesis, light reaction	P
UniProtKB	P23321	GO:0010207	photosystem II assembly	P
UniProtKB	P25851	GO:0015979	photosynthesis	P
UniProtKB	P25851	GO:0009773	photosynthetic electron transport in photosystem I	P
UniProtKB	P25856	GO:0019253	reductive pentose-phosphate cycle	P
UniProtKB	P25857	GO:0019253	reductive pentose-phosphate cycle	P
UniProtKB	P27140	GO:0015979	photosynthesis	P
UniProtKB	P27202	GO:0010270	photosystem II oxygen evolving complex assembly	P
UniProtKB	P27521	GO:0009768	photosynthesis, light harvesting in photosystem I	P
UniProtKB	P27521	GO:0009768	photosynthesis, light harvesting in photosystem I	P
UniProtKB	P46283	GO:0019253	reductive pentose-phosphate cycle	P
UniProtKB	P49599	GO:0009767	photosynthetic electron transport chain	P
UniProtKB	P56751	GO:0015979	photosynthesis	P
UniProtKB	P56755	GO:0015979	photosynthesis	P
UniProtKB	P56766	GO:0015979	photosynthesis	P
UniProtKB	P56771	GO:0009767	photosynthetic electron transport chain	P
UniProtKB	P56777	GO:0010207	photosystem II assembly	P
UniProtKB	P56788	GO:0048564	photosystem I assembly	P
UniProtKB	P61843	GO:0048564	photosystem I assembly	P
UniProtKB	P62090	GO:0015979	photosynthesis	P
UniProtKB	P62090	GO:0015979	photosynthesis	P
UniProtKB	Q01667	GO:0009768	photosynthesis, light harvesting in photosystem I	P
UniProtKB	Q01667	GO:0009768	photosynthesis, light harvesting in photosystem I	P
UniProtKB	Q01667	GO:0009768	photosynthesis, light harvesting in photosystem I	P
