GENE PRODUCT DB	GENE PRODUCT ID	GO TERM	GO NAME	GO ASPECT
UniProtKB	A6NHQ2	GO:1990258	histone glutamine methylation	P
UniProtKB	A6NHQ4	GO:0035616	histone H2B conserved C-terminal lysine deubiquitination	P
UniProtKB	A8MW92	GO:0016573	histone acetylation	P
UniProtKB	B2RXH2	GO:0033169	histone H3-K9 demethylation	P
UniProtKB	H3BTX0	GO:0051568	histone H3-K4 methylation	P
UniProtKB	O00167	GO:0016576	histone dephosphorylation	P
UniProtKB	O00167	GO:0016576	histone dephosphorylation	P
UniProtKB	O00213	GO:0043967	histone H4 acetylation	P
UniProtKB	O14607	GO:0071557	histone H3-K27 demethylation	P
UniProtKB	O14686	GO:0044648	histone H3-K4 dimethylation	P
UniProtKB	O14686	GO:0097692	histone H3-K4 monomethylation	P
UniProtKB	O14686	GO:0080182	histone H3-K4 trimethylation	P
UniProtKB	O14686	GO:0051568	histone H3-K4 methylation	P
UniProtKB	O14686	GO:0051568	histone H3-K4 methylation	P
UniProtKB	O14744	GO:0034969	histone arginine methylation	P
UniProtKB	O14744	GO:0043985	histone H4-R3 methylation	P
UniProtKB	O14744	GO:0043985	histone H4-R3 methylation	P
UniProtKB	O14929	GO:0043967	histone H4 acetylation	P
UniProtKB	O14929	GO:0043967	histone H4 acetylation	P
UniProtKB	O15047	GO:0044648	histone H3-K4 dimethylation	P
UniProtKB	O15047	GO:0097692	histone H3-K4 monomethylation	P
UniProtKB	O15047	GO:0080182	histone H3-K4 trimethylation	P
UniProtKB	O15054	GO:0071557	histone H3-K27 demethylation	P
UniProtKB	O15054	GO:0071557	histone H3-K27 demethylation	P
UniProtKB	O15055	GO:0070932	histone H3 deacetylation	P
UniProtKB	O15265	GO:0016578	histone deubiquitination	P
UniProtKB	O15294	GO:0043984	histone H4-K16 acetylation	P
UniProtKB	O15294	GO:0043982	histone H4-K8 acetylation	P
UniProtKB	O15294	GO:0043981	histone H4-K5 acetylation	P
UniProtKB	O15294	GO:0080182	histone H3-K4 trimethylation	P
UniProtKB	O15379	GO:0070932	histone H3 deacetylation	P
UniProtKB	O15379	GO:0070933	histone H4 deacetylation	P
UniProtKB	O15534	GO:0043967	histone H4 acetylation	P
UniProtKB	O15534	GO:0043966	histone H3 acetylation	P
UniProtKB	O15534	GO:0070932	histone H3 deacetylation	P
UniProtKB	O15550	GO:0071557	histone H3-K27 demethylation	P
UniProtKB	O15550	GO:0051568	histone H3-K4 methylation	P
UniProtKB	O43151	GO:0080182	histone H3-K4 trimethylation	P
UniProtKB	O43318	GO:0043966	histone H3 acetylation	P
UniProtKB	O43463	GO:0034968	histone lysine methylation	P
UniProtKB	O43463	GO:0036124	histone H3-K9 trimethylation	P
UniProtKB	O43463	GO:0036123	histone H3-K9 dimethylation	P
UniProtKB	O43593	GO:0033169	histone H3-K9 demethylation	P
UniProtKB	O60341	GO:0034720	histone H3-K4 demethylation	P
