GENE PRODUCT DB	GENE PRODUCT ID	GO TERM	GO NAME	GO ASPECT
UniProtKB	A0A178U7J2	GO:0015986	ATP synthesis coupled proton transport	P
UniProtKB	A0A178U9Y5	GO:0016114	terpenoid biosynthetic process	P
UniProtKB	A0A1I9LMM7	GO:0006384	transcription initiation from RNA polymerase III promoter	P
UniProtKB	A0A1I9LMN9	GO:0000162	tryptophan biosynthetic process	P
UniProtKB	A0A1I9LQ21	GO:0006506	GPI anchor biosynthetic process	P
UniProtKB	A0A1I9LR82	GO:0048478	replication fork protection	P
UniProtKB	A0A1I9LR82	GO:0043111	replication fork arrest	P
UniProtKB	A0A1I9LRT3	GO:0006225	UDP biosynthetic process	P
UniProtKB	A0A1I9LTC7	GO:0015995	chlorophyll biosynthetic process	P
UniProtKB	A0A1P8AMK1	GO:0006369	termination of RNA polymerase II transcription	P
UniProtKB	A0A1P8AMW4	GO:0006384	transcription initiation from RNA polymerase III promoter	P
UniProtKB	A0A1P8AMW4	GO:0042791	5S class rRNA transcription by RNA polymerase III	P
UniProtKB	A0A1P8APA8	GO:0006361	transcription initiation from RNA polymerase I promoter	P
UniProtKB	A0A1P8APF4	GO:0006366	transcription by RNA polymerase II	P
UniProtKB	A0A1P8APZ3	GO:0006425	glutaminyl-tRNA aminoacylation	P
UniProtKB	A0A1P8AQE4	GO:0031297	replication fork processing	P
UniProtKB	A0A1P8AQE4	GO:0048478	replication fork protection	P
UniProtKB	A0A1P8AS31	GO:0019438	aromatic compound biosynthetic process	P
UniProtKB	A0A1P8AST1	GO:0006384	transcription initiation from RNA polymerase III promoter	P
UniProtKB	A0A1P8AST1	GO:0042791	5S class rRNA transcription by RNA polymerase III	P
UniProtKB	A0A1P8ASY1	GO:0071932	replication fork reversal	P
UniProtKB	A0A1P8ASY1	GO:0006260	DNA replication	P
UniProtKB	A0A1P8AT59	GO:0006413	translational initiation	P
UniProtKB	A0A1P8AVS2	GO:0006413	translational initiation	P
UniProtKB	A0A1P8AW53	GO:1902983	DNA strand elongation involved in mitotic DNA replication	P
UniProtKB	A0A1P8AW93	GO:0042790	nucleolar large rRNA transcription by RNA polymerase I	P
UniProtKB	A0A1P8AW96	GO:0046513	ceramide biosynthetic process	P
UniProtKB	A0A1P8AWF3	GO:0006270	DNA replication initiation	P
UniProtKB	A0A1P8AYS2	GO:0006415	translational termination	P
UniProtKB	A0A1P8B2C9	GO:0019878	lysine biosynthetic process via aminoadipic acid	P
UniProtKB	A0A1P8B4J3	GO:0046103	inosine biosynthetic process	P
UniProtKB	A0A1P8B6F9	GO:0019856	pyrimidine nucleobase biosynthetic process	P
UniProtKB	A0A1P8B6F9	GO:0006241	CTP biosynthetic process	P
UniProtKB	A0A1P8B7P8	GO:0006048	UDP-N-acetylglucosamine biosynthetic process	P
UniProtKB	A0A1P8B9S9	GO:0043111	replication fork arrest	P
UniProtKB	A0A1P8B9S9	GO:0048478	replication fork protection	P
UniProtKB	A0A1P8BFD8	GO:0001732	formation of cytoplasmic translation initiation complex	P
UniProtKB	A0A1P8BFD8	GO:0001731	formation of translation preinitiation complex	P
UniProtKB	A0A2P2CLF5	GO:0006412	translation	P
UniProtKB	A0A2P2CLF9	GO:0015986	ATP synthesis coupled proton transport	P
UniProtKB	A0A2P2CLG6	GO:0032543	mitochondrial translation	P
UniProtKB	A0A2P2CLH1	GO:0006412	translation	P
UniProtKB	A1A6M1	GO:0042793	plastid transcription	P
UniProtKB	A3EWL3	GO:0070987	error-free translesion synthesis	P
UniProtKB	A3EWL3	GO:0042276	error-prone translesion synthesis	P
UniProtKB	A4FVP2	GO:0016106	sesquiterpenoid biosynthetic process	P
UniProtKB	A4GNA8	GO:0006646	phosphatidylethanolamine biosynthetic process	P
UniProtKB	A7XDQ9	GO:0018258	protein O-linked glycosylation via hydroxyproline	P
UniProtKB	A8MQJ1	GO:1901695	tyramine biosynthetic process	P
UniProtKB	A8MQN2	GO:0006354	DNA-templated transcription, elongation	P
UniProtKB	A8MQN4	GO:0006506	GPI anchor biosynthetic process	P
UniProtKB	A8MQQ8	GO:0000105	histidine biosynthetic process	P
UniProtKB	A8MR93	GO:0006487	protein N-linked glycosylation	P
UniProtKB	A8MR93	GO:0006487	protein N-linked glycosylation	P
UniProtKB	A8MRX0	GO:0019761	glucosinolate biosynthetic process	P
UniProtKB	A8MS68	GO:0006086	acetyl-CoA biosynthetic process from pyruvate	P
UniProtKB	A8MS85	GO:0042789	mRNA transcription by RNA polymerase II	P
UniProtKB	A8MS85	GO:0006368	transcription elongation from RNA polymerase II promoter	P
UniProtKB	B0F481	GO:0009102	biotin biosynthetic process	P
UniProtKB	B0F481	GO:0009102	biotin biosynthetic process	P
UniProtKB	B0F481	GO:0009102	biotin biosynthetic process	P
UniProtKB	B0F481	GO:0009102	biotin biosynthetic process	P
UniProtKB	B0F481	GO:0009102	biotin biosynthetic process	P
UniProtKB	B3DN87	GO:0018230	peptidyl-L-cysteine S-palmitoylation	P
UniProtKB	B3H4S0	GO:0046705	CDP biosynthetic process	P
UniProtKB	B3H4S0	GO:0006225	UDP biosynthetic process	P
UniProtKB	B3H501	GO:0030148	sphingolipid biosynthetic process	P
UniProtKB	B3H572	GO:0006366	transcription by RNA polymerase II	P
UniProtKB	B3H6K1	GO:0006506	GPI anchor biosynthetic process	P
UniProtKB	B3H7H1	GO:0006413	translational initiation	P
UniProtKB	B3LFA4	GO:0006423	cysteinyl-tRNA aminoacylation	P
UniProtKB	B5X565	GO:0042793	plastid transcription	P
UniProtKB	B5X582	GO:0009260	ribonucleotide biosynthetic process	P
UniProtKB	B6EXY6	GO:0016104	triterpenoid biosynthetic process	P
UniProtKB	B7U179	GO:0006261	DNA-dependent DNA replication	P
UniProtKB	B9DFR6	GO:0019344	cysteine biosynthetic process	P
UniProtKB	B9DFU2	GO:0016117	carotenoid biosynthetic process	P
UniProtKB	B9DG24	GO:0051123	RNA polymerase II preinitiation complex assembly	P
UniProtKB	B9DGU7	GO:0009229	thiamine diphosphate biosynthetic process	P
UniProtKB	B9DGY1	GO:0046467	membrane lipid biosynthetic process	P
UniProtKB	B9DGY1	GO:0046467	membrane lipid biosynthetic process	P
