GENE PRODUCT DB	GENE PRODUCT ID	GO TERM	GO NAME	GO ASPECT
UniProtKB	A0A087WWA1	GO:0046854	phosphatidylinositol phosphate biosynthetic process	P
UniProtKB	A0A087X0B3	GO:0019373	epoxygenase P450 pathway	P
UniProtKB	A0A087X1C5	GO:0019369	arachidonic acid metabolic process	P
UniProtKB	A0FGR8	GO:0006687	glycosphingolipid metabolic process	P
UniProtKB	A0FGR9	GO:0006687	glycosphingolipid metabolic process	P
UniProtKB	A1L0T0	GO:0001561	fatty acid alpha-oxidation	P
UniProtKB	A1L3X0	GO:0042761	very long-chain fatty acid biosynthetic process	P
UniProtKB	A1L3X0	GO:0034625	fatty acid elongation, monounsaturated fatty acid	P
UniProtKB	A1L3X0	GO:0034626	fatty acid elongation, polyunsaturated fatty acid	P
UniProtKB	A1L3X0	GO:0019367	fatty acid elongation, saturated fatty acid	P
UniProtKB	A1L3X0	GO:0030148	sphingolipid biosynthetic process	P
UniProtKB	A1L3X0	GO:0019367	fatty acid elongation, saturated fatty acid	P
UniProtKB	A1L3X0	GO:0034626	fatty acid elongation, polyunsaturated fatty acid	P
UniProtKB	A1L3X0	GO:0042761	very long-chain fatty acid biosynthetic process	P
UniProtKB	A1L3X0	GO:0042761	very long-chain fatty acid biosynthetic process	P
UniProtKB	A4FU01	GO:0046856	phosphatidylinositol dephosphorylation	P
UniProtKB	A4QPH2	GO:0046854	phosphatidylinositol phosphate biosynthetic process	P
UniProtKB	A5D6W6	GO:0008654	phospholipid biosynthetic process	P
UniProtKB	A5PLL7	GO:0008611	ether lipid biosynthetic process	P
UniProtKB	A5PLL7	GO:0008611	ether lipid biosynthetic process	P
UniProtKB	A5PLL7	GO:0008611	ether lipid biosynthetic process	P
UniProtKB	A6NDG6	GO:0006650	glycerophospholipid metabolic process	P
UniProtKB	A6NDG6	GO:0006650	glycerophospholipid metabolic process	P
UniProtKB	A6NFH5	GO:0019433	triglyceride catabolic process	P
UniProtKB	A8MXV4	GO:0009062	fatty acid catabolic process	P
UniProtKB	B0YJ81	GO:0030497	fatty acid elongation	P
UniProtKB	B0YJ81	GO:0030148	sphingolipid biosynthetic process	P
UniProtKB	B0YJ81	GO:0042761	very long-chain fatty acid biosynthetic process	P
UniProtKB	B0YJ81-1	GO:0030497	fatty acid elongation	P
UniProtKB	B0YJ81-1	GO:0030148	sphingolipid biosynthetic process	P
UniProtKB	B0YJ81-1	GO:0042761	very long-chain fatty acid biosynthetic process	P
UniProtKB	B0YJ81-1	GO:0030497	fatty acid elongation	P
UniProtKB	B0YJ81-1	GO:0030148	sphingolipid biosynthetic process	P
UniProtKB	B0YJ81-1	GO:0042761	very long-chain fatty acid biosynthetic process	P
UniProtKB	O00116	GO:0008611	ether lipid biosynthetic process	P
UniProtKB	O00116	GO:0008611	ether lipid biosynthetic process	P
UniProtKB	O00154	GO:0006631	fatty acid metabolic process	P
UniProtKB	O00154	GO:1900535	palmitic acid biosynthetic process	P
UniProtKB	O00154	GO:0051792	medium-chain fatty acid biosynthetic process	P
UniProtKB	O00154	GO:1900535	palmitic acid biosynthetic process	P
UniProtKB	O00329	GO:0036092	phosphatidylinositol-3-phosphate biosynthetic process	P
UniProtKB	O00329	GO:0046854	phosphatidylinositol phosphate biosynthetic process	P
UniProtKB	O00329	GO:0006661	phosphatidylinositol biosynthetic process	P
UniProtKB	O00443	GO:0046854	phosphatidylinositol phosphate biosynthetic process	P
UniProtKB	O00443	GO:0036092	phosphatidylinositol-3-phosphate biosynthetic process	P
UniProtKB	O00443	GO:0006661	phosphatidylinositol biosynthetic process	P
UniProtKB	O00443	GO:0006661	phosphatidylinositol biosynthetic process	P
UniProtKB	O00443	GO:0006661	phosphatidylinositol biosynthetic process	P
UniProtKB	O00443	GO:0006661	phosphatidylinositol biosynthetic process	P
UniProtKB	O00443	GO:0006661	phosphatidylinositol biosynthetic process	P
UniProtKB	O00459	GO:0046854	phosphatidylinositol phosphate biosynthetic process	P
UniProtKB	O00459	GO:0006661	phosphatidylinositol biosynthetic process	P
UniProtKB	O00468	GO:0001523	retinoid metabolic process	P
UniProtKB	O00519	GO:0009062	fatty acid catabolic process	P
UniProtKB	O00519	GO:0052651	monoacylglycerol catabolic process	P
UniProtKB	O00519	GO:0019369	arachidonic acid metabolic process	P
UniProtKB	O00519	GO:0009062	fatty acid catabolic process	P
UniProtKB	O00562	GO:0006661	phosphatidylinositol biosynthetic process	P
UniProtKB	O00628	GO:0008611	ether lipid biosynthetic process	P
UniProtKB	O00628	GO:0008611	ether lipid biosynthetic process	P
UniProtKB	O00748	GO:0006693	prostaglandin metabolic process	P
UniProtKB	O00750	GO:0046854	phosphatidylinositol phosphate biosynthetic process	P
UniProtKB	O00750	GO:0036092	phosphatidylinositol-3-phosphate biosynthetic process	P
UniProtKB	O00750	GO:0006661	phosphatidylinositol biosynthetic process	P
UniProtKB	O00767	GO:0006636	unsaturated fatty acid biosynthetic process	P
UniProtKB	O00767	GO:0006636	unsaturated fatty acid biosynthetic process	P
UniProtKB	O00767	GO:0006636	unsaturated fatty acid biosynthetic process	P
UniProtKB	O14494	GO:0046839	phospholipid dephosphorylation	P
UniProtKB	O14494	GO:0006644	phospholipid metabolic process	P
UniProtKB	O14494	GO:0006672	ceramide metabolic process	P
UniProtKB	O14494	GO:0006672	ceramide metabolic process	P
UniProtKB	O14494	GO:0006670	sphingosine metabolic process	P
UniProtKB	O14494	GO:0006644	phospholipid metabolic process	P
UniProtKB	O14494	GO:0006644	phospholipid metabolic process	P
UniProtKB	O14494	GO:0006644	phospholipid metabolic process	P
UniProtKB	O14494	GO:0046839	phospholipid dephosphorylation	P
UniProtKB	O14494	GO:0046839	phospholipid dephosphorylation	P
UniProtKB	O14494	GO:0046839	phospholipid dephosphorylation	P
UniProtKB	O14494	GO:0030148	sphingolipid biosynthetic process	P
UniProtKB	O14494	GO:0046839	phospholipid dephosphorylation	P
UniProtKB	O14494	GO:0046839	phospholipid dephosphorylation	P
UniProtKB	O14495	GO:0006644	phospholipid metabolic process	P
UniProtKB	O14495	GO:0046839	phospholipid dephosphorylation	P
UniProtKB	O14495	GO:0006672	ceramide metabolic process	P
UniProtKB	O14495	GO:0006672	ceramide metabolic process	P
UniProtKB	O14495	GO:0006670	sphingosine metabolic process	P
UniProtKB	O14495	GO:0006670	sphingosine metabolic process	P
UniProtKB	O14495	GO:0006644	phospholipid metabolic process	P
UniProtKB	O14495	GO:0006644	phospholipid metabolic process	P
UniProtKB	O14495	GO:0046839	phospholipid dephosphorylation	P
UniProtKB	O14495	GO:0046839	phospholipid dephosphorylation	P
UniProtKB	O14495	GO:0030148	sphingolipid biosynthetic process	P
UniProtKB	O14508	GO:0046854	phosphatidylinositol phosphate biosynthetic process	P
UniProtKB	O14512	GO:0046854	phosphatidylinositol phosphate biosynthetic process	P
UniProtKB	O14543	GO:0046854	phosphatidylinositol phosphate biosynthetic process	P
UniProtKB	O14544	GO:0046854	phosphatidylinositol phosphate biosynthetic process	P
UniProtKB	O14561	GO:0006633	fatty acid biosynthetic process	P
UniProtKB	O14678	GO:0006635	fatty acid beta-oxidation	P
UniProtKB	O14678	GO:0042760	very long-chain fatty acid catabolic process	P
UniProtKB	O14684	GO:0001516	prostaglandin biosynthetic process	P
UniProtKB	O14684	GO:0001516	prostaglandin biosynthetic process	P
UniProtKB	O14684	GO:0006693	prostaglandin metabolic process	P
UniProtKB	O14684	GO:0019371	cyclooxygenase pathway	P
UniProtKB	O14734	GO:0009062	fatty acid catabolic process	P
UniProtKB	O14734	GO:0033540	fatty acid beta-oxidation using acyl-CoA oxidase	P
UniProtKB	O14734	GO:0036109	alpha-linolenic acid metabolic process	P
UniProtKB	O14735	GO:0006661	phosphatidylinositol biosynthetic process	P
UniProtKB	O14735	GO:0006661	phosphatidylinositol biosynthetic process	P
UniProtKB	O14735	GO:0006661	phosphatidylinositol biosynthetic process	P
UniProtKB	O14735	GO:0006661	phosphatidylinositol biosynthetic process	P
UniProtKB	O14832	GO:0001561	fatty acid alpha-oxidation	P
UniProtKB	O14832	GO:0001561	fatty acid alpha-oxidation	P
UniProtKB	O14832	GO:0001561	fatty acid alpha-oxidation	P
UniProtKB	O14832	GO:0001561	fatty acid alpha-oxidation	P
UniProtKB	O14832	GO:0006720	isoprenoid metabolic process	P
UniProtKB	O14939	GO:0006654	phosphatidic acid biosynthetic process	P
UniProtKB	O14975	GO:0042760	very long-chain fatty acid catabolic process	P
