GENE PRODUCT DB	GENE PRODUCT ID	GO TERM	GO NAME	GO ASPECT
UniProtKB	A0A1I9LME3	GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	P
UniProtKB	A0A1I9LN13	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A1I9LPW5	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A1P8AZS5	GO:0007039	protein catabolic process in the vacuole	P
UniProtKB	A0A1P8AZS5	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A1P8B460	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A1P8B5A1	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A1P8B5P2	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A1P8B7F5	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	A0A1P8B7F5	GO:0071712	ER-associated misfolded protein catabolic process	P
UniProtKB	A0A1P8BGX5	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A8MQG7	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	A8MQW3	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	A8MQW3	GO:0071712	ER-associated misfolded protein catabolic process	P
UniProtKB	A8MR93	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	B3DNN5	GO:0031145	anaphase-promoting complex-dependent catabolic process	P
UniProtKB	B9DHA6	GO:0019941	modification-dependent protein catabolic process	P
UniProtKB	F4HQX6	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	F4HRV8	GO:0051603	proteolysis involved in cellular protein catabolic process	P
UniProtKB	F4HVM4	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4HVS0	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4HVS0	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	F4HVS0	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	F4HVZ1	GO:0051603	proteolysis involved in cellular protein catabolic process	P
UniProtKB	F4HXZ1	GO:0043328	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	P
UniProtKB	F4HZW2	GO:0051603	proteolysis involved in cellular protein catabolic process	P
UniProtKB	F4HZZ4	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4HZZ5	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4I2Y3	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4I5B8	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4I615	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4I7D4	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	F4I9X6	GO:0019941	modification-dependent protein catabolic process	P
UniProtKB	F4I9X6	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4IDY5	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4IDY5	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4IIC2	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	F4IIK4	GO:0051603	proteolysis involved in cellular protein catabolic process	P
UniProtKB	F4IRP0	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4ITM1	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4ITM2	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4ITP6	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	F4IWU7	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4IXN6	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	F4IZ09	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	F4IZL5	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4J048	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	F4J3D6	GO:0051603	proteolysis involved in cellular protein catabolic process	P
UniProtKB	F4J3D9	GO:0051603	proteolysis involved in cellular protein catabolic process	P
UniProtKB	F4J5L3	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4JC97	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	F4JG03	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	F4JGS0	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	F4JI85	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	F4JJE5	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	F4JJE5	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	F4JKF3	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4JKK0	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	F4JNL3	GO:0051603	proteolysis involved in cellular protein catabolic process	P
UniProtKB	F4JV39	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	F4JWE4	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	F4JWQ4	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	F4JY59	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4K250	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	F4K5R6	GO:0031145	anaphase-promoting complex-dependent catabolic process	P
UniProtKB	F4K784	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4K9Q6	GO:0010304	PSII associated light-harvesting complex II catabolic process	P
UniProtKB	F4KAG5	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4KAN2	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	F4KAN2	GO:0010498	proteasomal protein catabolic process	P
UniProtKB	F4KCC2	GO:0071596	ubiquitin-dependent protein catabolic process via the N-end rule pathway	P
UniProtKB	F4KCC2	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	F4KCN6	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	F4KI28	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	F4KI29	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	O04019	GO:0010498	proteasomal protein catabolic process	P
UniProtKB	O04197	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	O04197	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	O22197	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	O22207	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	O22925	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	O22941	GO:0051603	proteolysis involved in cellular protein catabolic process	P
UniProtKB	O22961	GO:0051603	proteolysis involved in cellular protein catabolic process	P
UniProtKB	O23239	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	O23708	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	O23708	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	O23710	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	O23710	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	O23712	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	O23712	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	O23714	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	O23714	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	O23715	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	O23715	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	O23717	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	O23717	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	O24412	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	O24616	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	O24616	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	O24616	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	O24633	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	O24633	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	O48726	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	O48838	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	O48844	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	O49286	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	O49286	GO:0051603	proteolysis involved in cellular protein catabolic process	P
UniProtKB	O49484	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	O49500	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	O49663	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	O49663	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	O64425	GO:0071712	ER-associated misfolded protein catabolic process	P
UniProtKB	O64425	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	O64425	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	O64758	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	O64824	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	O64824	GO:0071712	ER-associated misfolded protein catabolic process	P
UniProtKB	O64867	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	O64876	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	O65381	GO:0019941	modification-dependent protein catabolic process	P
UniProtKB	O65418	GO:0031145	anaphase-promoting complex-dependent catabolic process	P
UniProtKB	O65421	GO:0043328	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	P
UniProtKB	O65493	GO:0051603	proteolysis involved in cellular protein catabolic process	P
UniProtKB	O65674	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	O65674	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	O80860	GO:0010304	PSII associated light-harvesting complex II catabolic process	P
UniProtKB	O80910	GO:0043328	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	P
UniProtKB	O80977	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	O81055	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	O81055	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	O81057	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	O81057	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	O81058	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	O81146	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	O81146	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	O81147	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	O81147	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	O81148	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	O81148	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	O81149	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	O81149	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	O81153	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	O81153	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	O81849	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	O82264	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P0C8K8	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P0CH32	GO:0019941	modification-dependent protein catabolic process	P
UniProtKB	P0CH32	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P0CH33	GO:0019941	modification-dependent protein catabolic process	P
UniProtKB	P0CH33	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P25865	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	P25865	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P30186	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	P30186	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	P34066	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	P34066	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	P35131	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P35131	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P35131	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P35132	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P35133	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P35133	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P35134	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P35134	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P42742	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	P42742	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	P42743	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	P42743	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P42745	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	P42745	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P42746	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	P42746	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P42747	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P42748	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P42748	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P42749	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P42749	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P42750	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P42750	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P42750	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P43295	GO:0051603	proteolysis involved in cellular protein catabolic process	P
UniProtKB	P43296	GO:0051603	proteolysis involved in cellular protein catabolic process	P
UniProtKB	P43297	GO:0051603	proteolysis involved in cellular protein catabolic process	P
UniProtKB	P49047	GO:0051603	proteolysis involved in cellular protein catabolic process	P
UniProtKB	P54609	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	P54609	GO:0030970	retrograde protein transport, ER to cytosol	P
UniProtKB	P54609	GO:0071712	ER-associated misfolded protein catabolic process	P
UniProtKB	P55034	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	P55034	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	P56772	GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	P
UniProtKB	P57681	GO:0030327	prenylated protein catabolic process	P
UniProtKB	P57681	GO:0030327	prenylated protein catabolic process	P
UniProtKB	P59232	GO:0019941	modification-dependent protein catabolic process	P
UniProtKB	P59232	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P59233	GO:0019941	modification-dependent protein catabolic process	P
UniProtKB	P59271	GO:0019941	modification-dependent protein catabolic process	P
UniProtKB	P92974	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P93026	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P93028	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P93030	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P93030	GO:0071712	ER-associated misfolded protein catabolic process	P
UniProtKB	P93655	GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	P
UniProtKB	P93744	GO:0071712	ER-associated misfolded protein catabolic process	P
UniProtKB	P93744	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	P93744	GO:0006511	ubiquitin-dependent protein catabolic process	P
