GENE PRODUCT DB	GENE PRODUCT ID	GO TERM	GO NAME	GO ASPECT
UniProtKB	A0MES8	GO:0010449	root meristem growth	P
UniProtKB	A0MES8	GO:0048527	lateral root development	P
UniProtKB	A7UL74	GO:0048364	root development	P
UniProtKB	A7XDQ9	GO:0080147	root hair cell development	P
UniProtKB	B3H5D3	GO:0048830	adventitious root development	P
UniProtKB	B3H5J1	GO:0010082	regulation of root meristem growth	P
UniProtKB	B3H5J1	GO:0048527	lateral root development	P
UniProtKB	B3H5Q2	GO:0010082	regulation of root meristem growth	P
UniProtKB	B3H5Q2	GO:0048766	root hair initiation	P
UniProtKB	B3H5Q2	GO:0080147	root hair cell development	P
UniProtKB	C0LGF5	GO:0010082	regulation of root meristem growth	P
UniProtKB	C0LGQ4	GO:0048765	root hair cell differentiation	P
UniProtKB	C0LGR3	GO:0010078	maintenance of root meristem identity	P
UniProtKB	C0LGR3	GO:0010082	regulation of root meristem growth	P
UniProtKB	C0LGV1	GO:0010078	maintenance of root meristem identity	P
UniProtKB	C0LGV1	GO:0010449	root meristem growth	P
UniProtKB	C0LGV1	GO:0010082	regulation of root meristem growth	P
UniProtKB	C0LGX3	GO:0010102	lateral root morphogenesis	P
UniProtKB	F4HQE2	GO:0048364	root development	P
UniProtKB	F4HTM3	GO:0010053	root epidermal cell differentiation	P
UniProtKB	F4HU83	GO:0048364	root development	P
UniProtKB	F4HVZ5	GO:0080022	primary root development	P
UniProtKB	F4HW04	GO:0010086	embryonic root morphogenesis	P
UniProtKB	F4HW09	GO:0048364	root development	P
UniProtKB	F4HYH6	GO:0048768	root hair cell tip growth	P
UniProtKB	F4I312	GO:0010015	root morphogenesis	P
UniProtKB	F4I443	GO:0010078	maintenance of root meristem identity	P
UniProtKB	F4I460	GO:0048767	root hair elongation	P
UniProtKB	F4I460	GO:0048767	root hair elongation	P
UniProtKB	F4I4F2	GO:0080147	root hair cell development	P
UniProtKB	F4I615	GO:0010053	root epidermal cell differentiation	P
UniProtKB	F4I642	GO:0048364	root development	P
UniProtKB	F4I7B6	GO:0080022	primary root development	P
UniProtKB	F4I9A1	GO:0048364	root development	P
UniProtKB	F4IAW5	GO:0010311	lateral root formation	P
UniProtKB	F4IDS7	GO:0010015	root morphogenesis	P
UniProtKB	F4IIU4	GO:0010102	lateral root morphogenesis	P
UniProtKB	F4IKE6	GO:0010311	lateral root formation	P
UniProtKB	F4ILF8	GO:0080147	root hair cell development	P
UniProtKB	F4ILG6	GO:0048364	root development	P
UniProtKB	F4IP55	GO:0048528	post-embryonic root development	P
UniProtKB	F4IRB4	GO:0048527	lateral root development	P
