GENE PRODUCT DB	GENE PRODUCT ID	GO TERM	GO NAME	GO ASPECT
UniProtKB	A7XDQ9	GO:0010405	arabinogalactan protein metabolic process	P
UniProtKB	A8MRC4	GO:0071668	plant-type cell wall assembly	P
UniProtKB	B9DFR3	GO:0071555	cell wall organization	P
UniProtKB	B9DFR3	GO:0071555	cell wall organization	P
UniProtKB	B9DH97	GO:0009920	cell plate formation involved in plant-type cell wall biogenesis	P
UniProtKB	C0LGL9	GO:0009664	plant-type cell wall organization	P
UniProtKB	F4HPC1	GO:0009828	plant-type cell wall loosening	P
UniProtKB	F4HR76	GO:0010407	non-classical arabinogalactan protein metabolic process	P
UniProtKB	F4HUY1	GO:0052543	callose deposition in cell wall	P
UniProtKB	F4HZC3	GO:0045492	xylan biosynthetic process	P
UniProtKB	F4I107	GO:0071555	cell wall organization	P
UniProtKB	F4I2W6	GO:0010306	rhamnogalacturonan II biosynthetic process	P
UniProtKB	F4I6V0	GO:0042546	cell wall biogenesis	P
UniProtKB	F4I718	GO:0052324	plant-type cell wall cellulose biosynthetic process	P
UniProtKB	F4I839	GO:0071555	cell wall organization	P
UniProtKB	F4I9D5	GO:0009664	plant-type cell wall organization	P
UniProtKB	F4IA77	GO:0009834	plant-type secondary cell wall biogenesis	P
UniProtKB	F4IH21	GO:0009834	plant-type secondary cell wall biogenesis	P
UniProtKB	F4IH21	GO:1990937	xylan acetylation	P
UniProtKB	F4IIM1	GO:0010215	cellulose microfibril organization	P
UniProtKB	F4IIM1	GO:0010215	cellulose microfibril organization	P
UniProtKB	F4IIM1	GO:0009833	plant-type primary cell wall biogenesis	P
UniProtKB	F4IVV0	GO:0010215	cellulose microfibril organization	P
UniProtKB	F4J9G0	GO:0009832	plant-type cell wall biogenesis	P
UniProtKB	F4JCI4	GO:0010405	arabinogalactan protein metabolic process	P
UniProtKB	F4JIK9	GO:0010405	arabinogalactan protein metabolic process	P
UniProtKB	F4JSU0	GO:0009664	plant-type cell wall organization	P
UniProtKB	F4K6F1	GO:0009969	xyloglucan biosynthetic process	P
UniProtKB	F4K6F1	GO:0009969	xyloglucan biosynthetic process	P
UniProtKB	F4K8F7	GO:0009832	plant-type cell wall biogenesis	P
UniProtKB	F4KE06	GO:0045493	xylan catabolic process	P
UniProtKB	F4KGM7	GO:0009832	plant-type cell wall biogenesis	P
UniProtKB	O04500	GO:0052324	plant-type cell wall cellulose biosynthetic process	P
UniProtKB	O04523	GO:0010411	xyloglucan metabolic process	P
UniProtKB	O22244	GO:0009827	plant-type cell wall modification	P
UniProtKB	O22666	GO:0009832	plant-type cell wall biogenesis	P
UniProtKB	O22775	GO:0009969	xyloglucan biosynthetic process	P
UniProtKB	O22775	GO:0010411	xyloglucan metabolic process	P
UniProtKB	O22807	GO:0042546	cell wall biogenesis	P
UniProtKB	O22943	GO:0052324	plant-type cell wall cellulose biosynthetic process	P
UniProtKB	O22943	GO:0052324	plant-type cell wall cellulose biosynthetic process	P
UniProtKB	O22943	GO:0052324	plant-type cell wall cellulose biosynthetic process	P
UniProtKB	O22943	GO:0052324	plant-type cell wall cellulose biosynthetic process	P
UniProtKB	O22960	GO:0009827	plant-type cell wall modification	P
UniProtKB	O23147	GO:0009830	cell wall modification involved in abscission	P
UniProtKB	O23386	GO:0009833	plant-type primary cell wall biogenesis	P
UniProtKB	O48676	GO:0052544	defense response by callose deposition in cell wall	P
UniProtKB	O48847	GO:0009827	plant-type cell wall modification	P
UniProtKB	O48847	GO:0009827	plant-type cell wall modification	P
UniProtKB	O48946	GO:0009833	plant-type primary cell wall biogenesis	P
UniProtKB	O48946	GO:0009833	plant-type primary cell wall biogenesis	P
UniProtKB	O48947	GO:0009833	plant-type primary cell wall biogenesis	P
UniProtKB	O49323	GO:0009833	plant-type primary cell wall biogenesis	P
UniProtKB	O49607	GO:0009827	plant-type cell wall modification	P
UniProtKB	O49730	GO:0044038	cell wall macromolecule biosynthetic process	P
UniProtKB	O49730	GO:0071555	cell wall organization	P
UniProtKB	O49782	GO:0052544	defense response by callose deposition in cell wall	P
UniProtKB	O64614	GO:0052324	plant-type cell wall cellulose biosynthetic process	P
UniProtKB	O64883	GO:0052544	defense response by callose deposition in cell wall	P
UniProtKB	O65431	GO:0042546	cell wall biogenesis	P
UniProtKB	O65782	GO:0052544	defense response by callose deposition in cell wall	P
UniProtKB	O80434	GO:0009834	plant-type secondary cell wall biogenesis	P
UniProtKB	O80501	GO:0052324	plant-type cell wall cellulose biosynthetic process	P
UniProtKB	O80731	GO:0071555	cell wall organization	P
UniProtKB	O80731	GO:0071555	cell wall organization	P
UniProtKB	O80803	GO:0010411	xyloglucan metabolic process	P
UniProtKB	O80891	GO:0009833	plant-type primary cell wall biogenesis	P
UniProtKB	O80898	GO:0009833	plant-type primary cell wall biogenesis	P
UniProtKB	O80899	GO:0009833	plant-type primary cell wall biogenesis	P
UniProtKB	O80919	GO:0045492	xylan biosynthetic process	P
UniProtKB	O80940	GO:1990937	xylan acetylation	P
UniProtKB	O80940	GO:0045492	xylan biosynthetic process	P
UniProtKB	O80940	GO:0009834	plant-type secondary cell wall biogenesis	P
UniProtKB	O80940	GO:0010411	xyloglucan metabolic process	P
UniProtKB	O81053	GO:0009969	xyloglucan biosynthetic process	P
UniProtKB	O81346	GO:0052544	defense response by callose deposition in cell wall	P
UniProtKB	O81417	GO:0009832	plant-type cell wall biogenesis	P
UniProtKB	O82481	GO:0009664	plant-type cell wall organization	P
UniProtKB	P21216	GO:0052546	cell wall pectin metabolic process	P
UniProtKB	P21216	GO:0052386	cell wall thickening	P
UniProtKB	P24806	GO:0009828	plant-type cell wall loosening	P
UniProtKB	P24806	GO:0071669	plant-type cell wall organization or biogenesis	P
UniProtKB	P28185	GO:0042546	cell wall biogenesis	P
UniProtKB	P31414	GO:0052546	cell wall pectin metabolic process	P
