"ID"	"GO1"	"GO2"	"GO3"	"GO4"	"GO5"	"GO6"	"GO7"	"GO8"	"Tetrahymena"
"A6NHQ2"	1	0	0	0	0	0	0	0	1
"A6NHQ4"	1	0	0	0	0	0	0	0	1
"A8MW92"	1	0	0	0	0	0	0	0	1
"B2RXH2"	1	0	0	0	0	0	0	0	1
"H3BTX0"	1	0	0	0	0	0	0	0	1
"O00167"	1	0	0	0	0	0	0	0	1
"O00213"	1	0	0	0	0	0	0	0	1
"O14607"	1	0	0	0	0	0	0	0	1
"O14686"	1	0	0	0	1	0	0	0	1
"O14744"	1	0	0	0	0	0	0	0	1
"O14929"	1	0	0	0	0	0	0	0	1
"O15047"	1	0	0	0	1	0	0	0	1
"O15054"	1	0	0	0	0	0	0	0	1
"O15055"	1	0	1	0	0	0	0	0	1
"O15265"	1	0	0	0	0	0	0	0	1
"O15294"	1	0	0	0	0	0	0	0	1
"O15379"	1	0	0	0	0	0	0	0	1
"O15534"	1	0	0	0	0	0	0	0	1
"O15550"	1	0	0	0	0	0	0	0	1
"O43151"	1	0	0	0	0	0	0	0	1
"O43318"	1	0	0	0	1	0	0	0	1
"O43463"	1	0	0	0	0	0	0	0	1
"O43593"	1	0	0	0	0	0	0	0	1
"O60341"	1	0	0	0	0	0	0	0	1
"O60674"	1	0	0	0	1	0	0	0	1
"O60907"	1	0	0	0	0	0	0	0	1
"O75150"	1	0	0	0	0	0	0	0	1
"O75164"	1	0	0	0	0	0	0	0	1
"O75182"	1	0	0	0	0	0	0	0	1
"O75478"	1	0	0	0	0	0	0	0	1
"O75486"	1	0	0	0	0	0	0	0	1
"O75528"	1	0	0	0	0	0	0	0	1
"O75529"	1	0	0	0	0	0	0	0	1
"O75582"	1	0	0	0	1	0	0	0	1
"O75676"	1	0	0	0	0	0	0	0	1
"O76064"	1	0	0	0	0	0	0	0	1
"O94776"	1	0	0	0	0	0	0	0	1
"O94805"	1	0	0	0	0	0	0	0	1
"O94864"	1	0	0	0	0	0	0	0	1
"O94874"	1	0	0	0	0	0	0	0	1
"O94880"	1	0	0	0	0	0	0	0	1
