---	full
target	name
----------	--------------------
PF01269.17	A6NHQ2
PF08704.10	A6NHQ2
PF01135.19	A6NHQ2
PF01189.17	A6NHQ2
PF15223.6	A6NHQ4
PF16660.5	A8MW92
PF12618.8	A8MW92
PF18104.1	A8MW92
PF18115.1	A8MW92
PF00628.29	A8MW92
PF02820.18	A8MW92
PF15057.6	A8MW92
PF09465.10	A8MW92
PF18358.1	A8MW92
PF11717.8	A8MW92
PF13831.6	A8MW92
PF02373.22	B2RXH2
PF02375.17	B2RXH2
PF11783.8	B2RXH2
PF04697.13	B2RXH2
PF00702.26	O00167
PF00640.23	O00213
PF00397.26	O00213
PF08416.13	O00213
PF14719.6	O00213
PF11705.8	O00213
PF04931.13	O00213
PF02373.22	O14607
PF00515.28	O14607
PF07719.17	O14607
PF13432.6	O14607
PF13181.6	O14607
PF13431.6	O14607
PF13424.6	O14607
PF13428.6	O14607
PF13176.6	O14607
PF14559.6	O14607
PF13371.6	O14607
PF13414.6	O14607
PF13174.6	O14607
PF13429.6	O14607
PF12895.7	O14607
PF14938.6	O14607
PF00628.29	O14686
PF05965.14	O14686
PF05964.14	O14686
PF00856.28	O14686
PF13771.6	O14686
PF13832.6	O14686
PF00505.19	O14686
PF00415.18	O14686
PF17285.2	O14744
PF05185.16	O14744
PF17286.2	O14744
PF02475.16	O14744
PF05175.14	O14744
PF10394.9	O14929
PF13508.7	O14929
PF13673.7	O14929
PF00583.25	O14929
PF17279.2	O14929
PF11764.8	O15047
PF00856.28	O15047
PF00076.22	O15047
PF02919.15	O15047
PF03153.13	O15047
PF02373.22	O15054
PF12114.8	O15055
PF08447.12	O15055
PF00989.25	O15055
PF14598.6	O15055
PF08313.12	O15265
PF12013.8	O15265
PF13844.6	O15294
PF00515.28	O15294
PF13414.6	O15294
PF07719.17	O15294
PF13431.6	O15294
PF13181.6	O15294
PF13424.6	O15294
PF13428.6	O15294
PF13432.6	O15294
PF14559.6	O15294
PF13176.6	O15294
PF13374.6	O15294
PF13371.6	O15294
PF13174.6	O15294
PF12569.8	O15294
PF07721.14	O15294
PF17874.1	O15294
PF13429.6	O15294
PF02259.23	O15294
PF04212.18	O15294
PF09976.9	O15294
PF07720.12	O15294
PF11846.8	O15294
PF14938.6	O15294
PF10373.9	O15294
PF03704.17	O15294
PF10516.9	O15294
PF12895.7	O15294
PF10602.9	O15294
PF06552.12	O15294
PF14853.6	O15294
PF04910.14	O15294
PF08311.12	O15294
PF04781.12	O15294
PF09613.10	O15294
PF14863.6	O15294
PF14561.6	O15294
PF17140.4	O15294
PF00850.19	O15379
PF12114.8	O15534
PF08447.12	O15534
PF14598.6	O15534
PF00989.25	O15534
PF02373.22	O15550
PF00515.28	O15550
PF07719.17	O15550
PF13181.6	O15550
PF13432.6	O15550
PF13431.6	O15550
PF13424.6	O15550
PF14559.6	O15550
PF13428.6	O15550
PF13371.6	O15550
PF13176.6	O15550
PF13414.6	O15550
PF14938.6	O15550
PF13174.6	O15550
PF13429.6	O15550
PF12895.7	O15550
PF12851.7	O43151
PF02008.20	O43151
PF07714.17	O43318
PF00069.25	O43318
PF01636.23	O43318
PF00856.28	O43463
PF05033.16	O43463
PF00385.24	O43463
PF17907.1	O43463
PF18107.1	O43463
PF02373.22	O43593
PF01593.24	O60341
PF04433.17	O60341
PF13450.6	O60341
PF01266.24	O60341
PF07992.14	O60341
PF01262.21	O60341
PF00070.27	O60341
PF00890.24	O60341
PF03486.14	O60341
PF12831.7	O60341
PF01494.19	O60341
PF01946.17	O60341
PF01134.22	O60341
PF02826.19	O60341
PF08939.10	O60341
PF05834.12	O60341
PF05190.18	O60341
PF13738.6	O60341
PF14712.6	O60341
PF14131.6	O60341
PF18699.1	O60341
PF08656.10	O60341
PF04102.12	O60341
PF07714.17	O60674
PF00069.25	O60674
PF18377.1	O60674
PF18379.1	O60674
PF17887.1	O60674
PF00017.24	O60674
PF00373.18	O60674
PF14531.6	O60674
PF01163.22	O60674
PF01636.23	O60674
PF00400.32	O60907
PF12894.7	O60907
PF08662.11	O60907
PF08513.11	O60907
PF17005.5	O60907
PF16529.5	O60907
PF07941.11	O60907
PF11715.8	O60907
PF07676.12	O60907
PF14999.6	O60907
PF15858.5	O60907
PF13920.6	O75150
PF00097.25	O75150
PF13923.6	O75150
PF14634.6	O75150
PF08647.11	O75150
PF14662.6	O75150
PF06160.12	O75150
PF13639.6	O75150
PF14447.6	O75150
PF13445.6	O75150
PF12678.7	O75150
PF12686.7	O75150
PF07228.12	O75150
PF15227.6	O75150
PF14835.6	O75150
PF14077.6	O75150
PF02373.22	O75164
PF18104.1	O75164
PF13832.6	O75164
PF13771.6	O75164
PF13831.6	O75164
PF02375.17	O75164
PF00628.29	O75164
PF09465.10	O75164
PF18115.1	O75164
PF09038.10	O75164
PF15057.6	O75164
PF08605.10	O75164
PF18359.1	O75164
PF16879.5	O75182
PF02671.21	O75182
PF08295.12	O75182
PF00249.31	O75478
PF04433.17	O75478
PF13921.6	O75478
PF08784.11	O75478
PF02269.16	O75486
PF13331.6	O75486
PF18268.1	O75486
PF10198.9	O75528
PF00400.32	O75529
PF04494.15	O75529
PF12894.7	O75529
PF11715.8	O75529
PF16529.5	O75529
PF17005.5	O75529
PF15492.6	O75529
PF00069.25	O75582
PF07714.17	O75582
PF14531.6	O75582
PF06293.14	O75582
PF01636.23	O75582
PF00433.24	O75582
PF17667.1	O75582
PF12330.8	O75582
PF13095.6	O75582
PF01163.22	O75582
PF01633.20	O75582
PF10500.9	O75582
PF10707.9	O75582
PF00069.25	O75676
PF07714.17	O75676
PF14531.6	O75676
PF01636.23	O75676
PF12330.8	O75676
PF06293.14	O75676
PF17667.1	O75676
PF01163.22	O75676
PF00433.24	O75676
PF13095.6	O75676
PF01633.20	O75676
PF00498.26	O76064
PF13920.6	O76064
PF00097.25	O76064
PF13923.6	O76064
PF13639.6	O76064
PF15227.6	O76064
PF14634.6	O76064
PF13445.6	O76064
PF14447.6	O76064
PF12678.7	O76064
PF16697.5	O76064
PF12861.7	O76064
PF14835.6	O76064
PF16685.5	O76064
PF13611.6	O76064
PF14570.6	O76064
PF09787.9	O76064
PF08010.11	O76064
PF04791.16	O76064
PF17226.2	O94776
PF01426.18	O94776
PF01448.24	O94776
PF00320.27	O94776
PF00249.31	O94776
PF15963.5	O94776
PF10172.9	O94776
PF14537.6	O94776
PF00022.19	O94805
PF06723.13	O94805
PF07524.13	O94864
PF09743.9	O94874
PF15209.6	O94874
PF00808.23	O94874
PF05127.14	O94874
PF08721.11	O94874
PF13832.6	O94880
PF00628.29	O94880
PF13771.6	O94880
PF13831.6	O94880
PF14446.6	O94880
PF00130.22	O94880
PF01780.19	O94880
PF02373.22	O94953
PF13832.6	O94953
PF18104.1	O94953
PF13771.6	O94953
PF02375.17	O94953
PF13831.6	O94953
PF09465.10	O94953
PF00628.29	O94953
PF18115.1	O94953
PF15057.6	O94953
PF09038.10	O94953
PF00643.24	O94972
PF00917.26	O94972
PF13920.6	O94972
PF13923.6	O94972
PF12700.7	O94972
PF15155.6	O94972
PF04632.12	O94972
PF09969.9	O94972
PF04513.12	O94972
