"ID"	"Length"	"MW"	"Charge"	"pI"	"aIndex"	"InstabilityIndex"	"Boman"	"HidrophobicityIndex"	"HMoment"	"TinyAA"	"SmallAA"	"AliphaticAA"	"AromaticAA"	"NonPolarAA"	"PolarAA"	"ChargedAA"	"BasicAA"	"AcidicAA"	"Globular"	"Surface"	"Transmembrane"	"GO1"	"GO2"	"GO3"	"GO4"	"GO5"	"GO6"	"GO7"	"GO8"	"Tetrahymena"
"A0A075B6P5"	120	12956.74794	-0.84251361550855	5.7280504292048	89.3333333333333	53.8125	0.99175	0.1195	0.530624735096616	35	55	27.5	9.167	58.333	41.667	13.333	6.667	6.667	"0.909090909090909"	0.0181818181818182	0.0727272727272727	0	0	0	0	1	0	0	0	0
"A0A075B6Q5"	118	12890.68654	1.12790379798291	8.02592121432436	76.0169491525424	37.5847457627119	1.02093220338983	0.124237288135593	0.50870283262998	38.136	53.39	27.966	13.559	60.169	39.831	16.949	9.322	7.627	"0.907407407407407"	0.0277777777777778	0.0648148148148148	0	0	0	0	1	0	0	0	0
"A0A075B6R2"	117	12847.71284	6.39615660131117	10.078801536563	87.4358974358974	26.0948717948718	0.919316239316239	0.116581196581197	0.526291916516866	36.752	55.556	29.06	12.821	55.556	44.444	15.385	11.111	4.274	"0.878504672897196"	0.0467289719626168	0.0747663551401869	0	0	0	0	1	0	0	0	0
"A0A075B6S6"	120	13214.99314	1.15781011300111	8.20002869024441	78.6666666666667	55.8366666666667	1.31875	0.0681666666666667	0.733375617847342	33.333	56.667	24.167	10.833	56.667	43.333	15	8.333	6.667	"0.909090909090909"	0.0181818181818182	0.0727272727272727	0	0	0	0	1	0	0	0	0
"A0A075B7B6"	117	12998.92424	6.39741078155487	10.0779955170274	89.0598290598291	33.5025641025641	1.05008547008547	0.0903418803418804	0.614945954028212	33.333	53.846	29.06	12.821	55.556	44.444	17.094	11.966	5.128	"0.878504672897196"	0.0467289719626168	0.0747663551401869	0	0	0	0	1	0	0	0	0
"A0A075B7B8"	117	12874.56394	-0.631836804129729	6.49470725043684	81.6239316239316	28.8239316239316	0.921282051282051	0.146324786324786	0.518620757164059	37.607	53.846	28.205	14.53	58.12	41.88	16.239	8.547	7.692	"0.897196261682243"	0.0186915887850467	0.0841121495327103	0	0	0	0	1	0	0	0	0
"A0A075B7D0"	117	13011.67154	4.3969276876501	9.4004668689887	63.4188034188034	36.6666666666667	1.59076923076923	0.0128205128205128	0.545320436953533	39.316	54.701	25.641	13.675	53.846	46.154	18.803	11.966	6.838	"0.934579439252336"	0	0.0654205607476635	0	0	0	0	1	0	0	0	0
"A0A075B7D8"	119	13079.99554	2.12963790986371	8.45923751497967	90.9243697478992	48.8126050420168	1.12747899159664	0.083109243697479	0.522288042696406	35.294	50.42	31.092	10.924	57.143	42.857	19.328	10.924	8.403	"0.917431192660551"	0.0275229357798165	0.055045871559633	0	0	0	0	1	0	0	0	0
"A0A075B7E8"	117	12903.73144	2.12777020629471	8.471228227211	78.2905982905983	44.6230769230769	1.09401709401709	0.10948717948718	0.525467857995295	36.752	53.846	27.35	12.821	58.12	41.88	16.239	9.402	6.838	"0.91588785046729"	0.0280373831775701	0.0560747663551402	0	0	0	0	1	0	0	0	0
"A0A075B7F0"	116	12579.42584	3.36643588409041	8.82525864501213	83.1896551724138	40.7370689655172	0.804568965517241	0.156034482758621	0.50870283262998	37.931	54.31	30.172	13.793	62.931	37.069	16.379	10.345	6.034	"0.905660377358491"	0.0283018867924528	0.0660377358490566	0	0	0	0	1	0	0	0	0
"A0A075B7F1"	116	12703.28404	-0.872398220278256	5.77034435248302	75.6034482758621	42.2086206896552	1.12620689655172	0.115775862068966	0.51153392551921	35.345	56.897	26.724	13.793	59.483	40.517	15.517	7.759	7.759	"0.915094339622642"	0.0188679245283019	0.0660377358490566	0	0	0	0	1	0	0	0	0
"A0A087WSY4"	118	13024.91564	7.39267346740201	10.0278653796452	88.3898305084746	36.4152542372881	0.896864406779661	0.122796610169492	0.453571671482403	38.136	52.542	28.814	14.407	56.78	43.22	14.407	11.017	3.39	"0.925925925925926"	0	0.0740740740740741	0	0	0	0	1	0	0	0	0
"A0A087WW49"	117	12943.84184	5.39741394382253	9.84609260501699	89.0598290598291	32.8623931623932	0.944529914529914	0.111538461538462	0.526291916516866	34.188	54.701	29.06	12.821	55.556	44.444	16.239	11.111	5.128	"0.878504672897196"	0.0467289719626168	0.0747663551401869	0	0	0	0	1	0	0	0	0
"A0A087WYE8"	117	13022.92884	2.5766739232522	8.31831429840655	75.8119658119658	46.6495726495726	1.15230769230769	0.0862393162393163	0.420993045597871	37.607	53.846	29.06	12.821	55.556	44.444	17.949	11.111	6.838	"0.934579439252336"	0	0.0654205607476635	0	0	0	0	1	0	0	0	0
"A0A087X0B3"	334	38484.19864	-2.71586001245375	6.57368272577522	80.8383233532934	45.9955089820359	1.67095808383234	0.00455089820359282	0.680639686836526	24.551	46.707	25.749	13.772	52.395	47.605	26.946	14.371	12.575	"0.925925925925926"	0.0524691358024691	0.0216049382716049	0	0	1	0	0	0	0	0	1
"A0A087X1C5"	515	57488.71604	8.59025472104853	8.49872144879829	95.0291262135922	45.1559223300971	1.30912621359223	0.0650873786407767	0.727183381123374	26.602	49.515	32.621	11.65	59.806	40.194	23.883	13.981	9.903	"0.843564356435644"	0.0633663366336634	0.0930693069306931	0	0	1	0	0	0	0	0	1
"A0A087X1L8"	192	20996.05644	-3.71479017411075	4.85538914335562	108.59375	44.6489583333333	0.962083333333333	0.146302083333333	0.682931315286571	31.771	57.812	35.417	8.333	57.292	42.708	15.625	7.292	8.333	"0.862637362637363"	0.032967032967033	0.104395604395604	0	0	0	0	1	0	0	0	0
"A0A0A0MS14"	117	13508.35444	4.1566714520304	9.35427312398651	62.5641025641026	39.0965811965812	1.71623931623932	-0.00829059829059827	0.53627970427439	35.043	50.427	24.786	15.385	52.991	47.009	19.658	11.966	7.692	"0.94392523364486"	0	0.0560747663551402	0	0	0	0	1	0	0	0	0
"A0A0A0MS15"	119	13055.93244	2.88891802951082	8.81457014578963	77.8151260504202	46.3226890756303	1.13890756302521	0.0927731092436975	0.575027533552217	38.655	52.941	27.731	12.605	58.824	41.176	19.328	10.924	8.403	"0.899082568807339"	0.0458715596330275	0.055045871559633	0	0	0	0	1	0	0	0	0
"A0A0A6YYK7"	116	13194.88084	-4.10745033474426	4.40135141409138	83.9655172413793	32.2284482758621	1.46534482758621	0.0706896551724138	0.497078243638632	32.759	52.586	29.31	12.931	50	50	18.966	7.759	11.207	"0.924528301886792"	0.0377358490566038	0.0377358490566038	0	0	0	0	1	0	0	0	0
"A0A0A7EPL0"	847	93475.25634	-3.07543324047111	6.80509754016836	70.3305785123967	55.1178276269185	1.72172373081464	0.0039551357733176	0.842414770885952	30.46	56.434	23.849	10.744	51.83	48.17	19.481	10.98	8.501	"0.934289127837515"	0.041816009557945	0.02389486260454	0	0	0	0	0	1	0	0	0
"A0A0B4J1U7"	121	13481.28214	3.9148621801735	9.46641135846133	86.9421487603306	50.2876033057851	1.28851239669421	0.0685123966942149	0.678878498048477	33.884	56.198	28.099	11.57	53.719	46.281	13.223	8.264	4.959	"0.855855855855856"	0.036036036036036	0.108108108108108	0	0	0	0	1	0	0	0	0
"A0A0B4J1V0"	119	12925.78314	2.88973117646057	8.84385335388613	76.218487394958	36.3596638655462	1.10680672268908	0.0876470588235294	0.603088374666879	39.496	55.462	26.891	10.924	57.143	42.857	19.328	10.924	8.403	"0.889908256880734"	0.055045871559633	0.055045871559633	0	0	0	0	1	0	0	0	0
"A0A0B4J1V1"	117	12839.60594	1.88764756236321	8.4501721352546	85.8119658119658	44.1128205128205	1.16854700854701	0.0955555555555556	0.471280064273939	37.607	53.846	29.915	11.966	58.12	41.88	17.094	9.402	7.692	"0.934579439252336"	0.0186915887850467	0.0467289719626168	0	0	0	0	1	0	0	0	0
"A0A0B4J1V2"	119	13182.26004	2.12888853377328	8.47478554768418	91.6806722689075	21.2680672268908	1.10974789915966	0.0865546218487395	0.636353170930491	36.975	56.303	28.571	8.403	50.42	49.58	17.647	10.084	7.563	"0.917431192660551"	0.036697247706422	0.0458715596330275	0	0	0	0	1	0	0	0	0
